time,alex,elliott,harvey,sam,sebastian,shane,abigail,emily,haley,leah,maru,penny,overall_1,overall_2,overall_3,gender,orientation,age
2018-07-21 18:49:41+02:00,1,4,5,3,2,6,3,2,1,6,5,4,,,,Female,Heterosexual,19-29
2018-07-21 18:49:51+02:00,1,4,3,5,6,2,5,6,1,4,2,3,,,,Male,Heterosexual,19-29
2018-07-21 18:51:30+02:00,5,6,3,2,4,1,2,1,4,5,3,6,,,,Male,Heterosexual,19-29
2018-07-21 18:51:36+02:00,3,6,5,2,1,4,3,5,2,4,6,1,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 18:52:03+02:00,3,4,6,1,2,5,3,4,1,2,6,5,,,,Female,Heterosexual,19-29
2018-07-21 18:52:34+02:00,2,1,6,3,4,5,5,2,1,4,3,6,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 18:54:21+02:00,2,6,5,1,3,4,6,5,1,4,3,2,,,,Female,Heterosexual,30-39
2018-07-21 18:54:29+02:00,5,3,4,2,1,6,5,6,4,2,1,3,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 18:54:50+02:00,5,4,6,1,3,2,4,3,1,6,2,5,,,,Male,Asexual,14 or under
2018-07-21 18:55:26+02:00,6,1,2,3,5,4,6,2,4,5,1,3,,,,Male,Homosexual,19-29
2018-07-21 18:55:34+02:00,2,1,5,4,3,6,2,5,1,4,3,6,,,,Female,Heterosexual,19-29
2018-07-21 18:55:35+02:00,3,4,6,2,5,1,4,3,1,5,2,6,,,,Male,Heterosexual,19-29
2018-07-21 18:56:06+02:00,4,2,3,5,1,6,3,4,1,5,2,6,,,,Male,Homosexual,19-29
2018-07-21 18:56:11+02:00,1,3,2,6,5,4,5,6,1,4,2,3,,,,Female,Heterosexual,30-39
2018-07-21 18:56:41+02:00,4,1,5,6,3,2,6,5,1,2,3,4,,,,Male,Heterosexual,30-39
2018-07-21 18:58:26+02:00,1,6,2,4,5,3,4,3,1,6,2,5,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 18:58:51+02:00,2,6,1,4,3,5,5,2,1,6,4,3,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 18:59:56+02:00,1,3,5,2,6,4,6,1,2,5,4,3,,,,Female,Asexual,14 or under
2018-07-21 19:00:10+02:00,2,1,6,4,5,3,6,2,1,3,4,5,,,,Female,Asexual,19-29
2018-07-21 19:00:10+02:00,2,3,5,1,4,6,1,5,6,4,3,2,,,,Prefer not to say,Bisexual/Pansexual,19-29
2018-07-21 19:01:31+02:00,1,2,3,5,4,6,5,1,4,3,2,6,,,,Male,Heterosexual,19-29
2018-07-21 19:02:02+02:00,6,1,2,5,4,3,2,1,4,6,5,3,,,,Male,Homosexual,19-29
2018-07-21 19:02:42+02:00,2,6,4,3,1,5,5,4,3,6,1,2,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:02:51+02:00,5,4,6,2,3,1,2,6,3,5,1,4,,,,Male,Heterosexual,19-29
2018-07-21 19:03:04+02:00,4,6,2,1,5,3,3,4,1,2,5,6,,,,Male,Heterosexual,15-18
2018-07-21 19:03:06+02:00,1,5,6,3,4,2,5,3,1,6,2,4,,,,Male,Heterosexual,19-29
2018-07-21 19:03:26+02:00,2,5,3,1,6,4,6,5,2,4,1,3,,,,Female,Homosexual,19-29
2018-07-21 19:04:49+02:00,3,2,4,5,1,6,3,4,1,6,2,5,,,,Female,Heterosexual,19-29
2018-07-21 19:04:51+02:00,3,4,6,5,2,1,3,1,2,6,5,4,,,,Male,Heterosexual,19-29
2018-07-21 19:05:06+02:00,4,6,5,1,2,3,3,5,2,6,1,4,,,,Male,Heterosexual,15-18
2018-07-21 19:05:16+02:00,2,5,3,1,4,6,6,5,1,3,4,2,,,,Female,Heterosexual,14 or under
2018-07-21 19:05:39+02:00,5,3,6,2,4,1,3,2,5,4,1,6,,,,Female,Heterosexual,19-29
2018-07-21 19:05:50+02:00,6,1,5,3,2,4,4,1,2,6,3,5,,,,Female,Heterosexual,19-29
2018-07-21 19:05:58+02:00,1,3,2,6,4,5,2,3,1,6,4,5,,,,Male,Heterosexual,19-29
2018-07-21 19:07:00+02:00,1,2,3,4,5,6,3,6,5,1,4,2,,,,Male,Heterosexual,19-29
2018-07-21 19:07:12+02:00,2,3,1,6,4,5,3,5,1,6,2,4,,,,Male,Heterosexual,30-39
2018-07-21 19:07:13+02:00,1,2,3,6,4,5,6,3,1,5,2,4,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:07:14+02:00,3,2,5,4,1,6,1,3,2,6,4,5,,,,Male,Bisexual/Pansexual,30-39
2018-07-21 19:07:26+02:00,5,2,1,6,4,3,2,5,4,6,1,3,,,,Male,Heterosexual,19-29
2018-07-21 19:07:56+02:00,1,6,5,3,4,2,2,4,3,1,6,5,,,,Female,Heterosexual,19-29
2018-07-21 19:08:02+02:00,2,6,3,1,4,5,3,5,4,6,2,1,,,,Female,Homosexual,19-29
2018-07-21 19:09:11+02:00,4,5,6,3,2,1,6,2,1,5,3,4,,,,Male,Heterosexual,19-29
2018-07-21 19:09:32+02:00,4,5,6,2,3,1,5,1,6,4,2,3,,,,Female,Heterosexual,19-29
2018-07-21 19:09:40+02:00,4,2,1,5,6,3,6,2,3,5,4,1,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:10:41+02:00,1,3,4,2,6,5,5,2,1,3,4,6,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:10:52+02:00,6,1,2,3,5,4,1,4,6,3,2,5,,,,Male,Homosexual,30-39
2018-07-21 19:11:16+02:00,1,6,2,3,5,4,3,4,2,5,1,6,,,,Female,Homosexual,19-29
2018-07-21 19:11:45+02:00,2,3,5,6,4,1,5,4,1,3,2,6,,,,Male,Heterosexual,15-18
2018-07-21 19:11:49+02:00,1,4,2,3,5,6,6,3,5,2,1,4,,,,Female,Heterosexual,15-18
2018-07-21 19:12:04+02:00,1,4,3,6,5,2,3,1,5,4,2,6,,,,Male,Heterosexual,30-39
2018-07-21 19:12:09+02:00,1,2,3,4,6,5,3,2,1,6,5,4,,,,Female,Bisexual/Pansexual,14 or under
2018-07-21 19:12:35+02:00,3,6,5,4,2,1,4,3,2,6,1,5,,,,Female,Heterosexual,19-29
2018-07-21 19:13:25+02:00,5,6,4,3,2,1,4,3,2,6,1,5,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:14:37+02:00,2,1,5,3,4,6,5,2,3,4,1,6,,,,Female,Heterosexual,19-29
2018-07-21 19:16:54+02:00,6,3,2,5,4,1,6,2,1,5,3,4,,,,Male,Heterosexual,14 or under
2018-07-21 19:16:56+02:00,1,6,5,4,3,2,1,3,6,4,2,5,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:19:17+02:00,3,5,2,4,6,1,6,4,2,3,1,5,,,,Male,Heterosexual,30-39
2018-07-21 19:19:58+02:00,6,4,3,2,5,1,6,5,4,3,2,1,,,,Female,Heterosexual,19-29
2018-07-21 19:20:18+02:00,3,4,2,6,5,1,1,6,5,3,4,2,,,,Male,Heterosexual,15-18
2018-07-21 19:20:22+02:00,3,1,5,2,4,6,4,5,1,3,6,2,,,,Female,Homosexual,15-18
2018-07-21 19:21:42+02:00,4,2,1,6,5,3,6,4,2,3,5,1,,,,Female,Bisexual/Pansexual,15-18
2018-07-21 19:21:59+02:00,6,5,4,3,2,1,4,6,3,5,1,2,,,,Male,Heterosexual,19-29
2018-07-21 19:22:07+02:00,4,2,3,1,6,5,1,6,3,5,2,4,,,,Female,Heterosexual,19-29
2018-07-21 19:23:11+02:00,6,4,1,5,3,2,3,4,1,6,2,5,,,,Female,Heterosexual,19-29
2018-07-21 19:23:27+02:00,2,5,1,4,6,3,5,6,1,2,4,3,,,,Female,Bisexual/Pansexual,30-39
2018-07-21 19:23:58+02:00,6,5,4,3,2,1,5,6,2,1,3,4,,,,Male,Heterosexual,19-29
2018-07-21 19:24:09+02:00,5,1,6,2,4,3,1,2,3,4,5,6,,,,Female,Heterosexual,19-29
2018-07-21 19:24:11+02:00,4,5,6,1,2,3,5,4,2,3,1,6,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:24:46+02:00,2,3,5,6,4,1,2,4,3,6,5,1,,,,Male,Heterosexual,15-18
2018-07-21 19:24:47+02:00,5,2,3,4,1,6,3,4,2,6,1,5,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:24:54+02:00,5,6,4,3,2,1,5,4,1,6,2,3,,,,Male,Heterosexual,30-39
2018-07-21 19:24:55+02:00,3,2,4,1,5,6,6,2,1,5,4,3,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:25:42+02:00,4,3,1,5,2,6,6,3,4,5,1,2,,,,Male,Heterosexual,15-18
2018-07-21 19:25:42+02:00,1,3,6,2,4,5,5,2,1,6,3,4,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:26:15+02:00,1,3,2,4,6,5,5,2,1,6,3,4,,,,Female,Heterosexual,19-29
2018-07-21 19:26:18+02:00,3,2,1,5,4,6,3,4,2,6,1,5,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:26:21+02:00,4,3,1,5,2,6,4,5,1,3,6,2,,,,Female,Other,19-29
2018-07-21 19:27:42+02:00,5,4,2,3,1,6,6,5,1,4,2,3,,,,Female,Heterosexual,19-29
2018-07-21 19:28:09+02:00,1,3,2,6,4,5,4,1,3,6,2,5,,,,Male,Heterosexual,15-18
2018-07-21 19:28:22+02:00,4,3,1,6,2,5,5,1,4,6,2,3,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:28:47+02:00,2,1,3,4,5,6,2,6,1,3,5,4,,,,Other,Heterosexual,14 or under
2018-07-21 19:29:08+02:00,4,2,1,6,3,5,3,4,1,5,2,6,,,,Female,Heterosexual,19-29
2018-07-21 19:29:26+02:00,3,2,1,6,4,5,3,5,4,2,1,6,,,,Male,Heterosexual,15-18
2018-07-21 19:30:13+02:00,2,4,6,1,3,5,3,2,1,5,6,4,,,,Female,Heterosexual,19-29
2018-07-21 19:30:47+02:00,1,3,5,2,6,4,5,4,3,6,1,2,,,,Non-binary,Bisexual/Pansexual,19-29
2018-07-21 19:30:48+02:00,5,2,1,3,4,6,6,2,4,3,1,5,,,,Male,Homosexual,19-29
2018-07-21 19:30:54+02:00,6,4,5,2,1,3,1,2,6,3,5,4,,,,Female,Bisexual/Pansexual,15-18
2018-07-21 19:31:54+02:00,5,3,6,2,4,1,1,4,3,5,2,6,,,,Female,Heterosexual,19-29
2018-07-21 19:32:32+02:00,1,3,4,2,5,6,4,1,5,6,2,3,,,,Male,Heterosexual,15-18
2018-07-21 19:32:39+02:00,2,6,5,1,3,4,5,4,1,6,3,2,,,,Female,Heterosexual,30-39
2018-07-21 19:33:52+02:00,3,2,1,4,6,5,6,3,2,4,1,5,,,,Male,Homosexual,19-29
2018-07-21 19:34:55+02:00,1,4,6,2,3,5,4,3,2,6,1,5,,,,Female,Bisexual/Pansexual,15-18
2018-07-21 19:34:57+02:00,1,2,3,4,6,5,6,1,3,4,2,5,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:35:10+02:00,1,2,5,4,3,6,1,3,6,5,2,4,,,,Male,Heterosexual,15-18
2018-07-21 19:35:49+02:00,2,4,1,3,5,6,6,4,1,5,3,2,,,,Female,Bisexual/Pansexual,15-18
2018-07-21 19:35:54+02:00,1,5,6,4,3,2,5,2,3,6,1,4,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:35:57+02:00,6,5,4,2,3,1,6,5,4,3,2,1,,,,Male,Homosexual,14 or under
2018-07-21 19:36:37+02:00,6,5,4,3,2,1,6,5,4,3,2,1,,,,Non-binary,Other,50 or over
2018-07-21 19:36:43+02:00,3,6,4,2,5,1,3,2,6,5,1,4,,,,Male,Asexual,15-18
2018-07-21 19:37:50+02:00,6,5,4,1,2,3,3,2,1,5,4,6,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:38:22+02:00,1,3,5,2,4,6,5,3,1,4,2,6,,,,Male,Heterosexual,15-18
2018-07-21 19:39:14+02:00,1,4,2,3,5,6,6,1,4,2,3,5,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:40:09+02:00,3,6,5,1,2,4,6,1,4,2,5,3,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:41:21+02:00,2,5,6,4,3,1,3,5,1,6,4,2,,,,Female,Heterosexual,30-39
2018-07-21 19:41:46+02:00,2,3,5,1,6,4,4,5,1,2,3,6,,,,Female,Heterosexual,30-39
2018-07-21 19:41:47+02:00,4,2,6,5,3,1,1,3,2,5,4,6,,,,Female,Heterosexual,19-29
2018-07-21 19:42:47+02:00,4,3,1,5,6,2,6,3,2,5,1,4,,,,Male,Heterosexual,19-29
2018-07-21 19:42:49+02:00,1,3,2,5,6,4,5,4,1,6,3,2,,,,Female,Other,19-29
2018-07-21 19:42:49+02:00,4,2,1,6,3,5,5,6,1,4,3,2,,,,Female,Heterosexual,15-18
2018-07-21 19:42:53+02:00,6,4,5,3,2,1,6,5,1,4,2,3,,,,Male,Heterosexual,19-29
2018-07-21 19:42:53+02:00,1,5,4,2,6,3,6,2,1,3,4,5,,,,Female,Heterosexual,30-39
2018-07-21 19:43:25+02:00,5,3,1,4,6,2,3,2,5,6,1,4,,,,Male,Heterosexual,19-29
2018-07-21 19:43:36+02:00,3,5,6,4,2,1,3,1,4,5,2,6,,,,Male,Heterosexual,19-29
2018-07-21 19:44:39+02:00,3,4,5,2,6,1,5,4,3,2,6,1,,,,Female,Heterosexual,19-29
2018-07-21 19:45:57+02:00,1,2,3,4,5,6,3,6,2,5,1,4,,,,Female,Homosexual,19-29
2018-07-21 19:45:58+02:00,6,3,4,2,1,5,5,3,1,4,2,6,,,,Male,Heterosexual,19-29
2018-07-21 19:46:20+02:00,3,1,6,2,4,5,6,4,1,5,2,3,,,,Female,Heterosexual,19-29
2018-07-21 19:46:29+02:00,1,2,5,6,4,3,6,2,4,1,3,5,,,,Non-binary,Asexual,19-29
2018-07-21 19:46:56+02:00,5,4,1,3,2,6,4,5,2,6,1,3,,,,Female,Heterosexual,19-29
2018-07-21 19:47:00+02:00,4,3,1,5,2,6,4,1,3,6,5,2,,,,Male,Heterosexual,19-29
2018-07-21 19:47:10+02:00,6,3,2,4,5,1,3,6,4,5,1,2,,,,Male,Heterosexual,19-29
2018-07-21 19:48:15+02:00,2,4,5,3,6,1,4,1,5,3,6,2,,,,Female,Heterosexual,19-29
2018-07-21 19:49:31+02:00,2,1,5,3,4,6,6,5,1,4,2,3,,,,Male,Homosexual,15-18
2018-07-21 19:49:35+02:00,3,5,6,2,4,1,4,3,6,5,2,1,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:49:44+02:00,1,3,6,5,4,2,3,5,1,6,2,4,,,,Male,Heterosexual,19-29
2018-07-21 19:50:04+02:00,1,2,6,3,5,4,3,6,1,4,2,5,,,,Male,Heterosexual,19-29
2018-07-21 19:50:11+02:00,3,5,6,1,2,4,5,2,1,3,4,6,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:51:02+02:00,5,2,1,6,4,3,6,4,5,3,1,2,,,,Female,Heterosexual,19-29
2018-07-21 19:51:07+02:00,4,6,2,5,3,1,1,5,3,6,2,4,,,,Male,Heterosexual,30-39
2018-07-21 19:53:17+02:00,5,6,2,3,4,1,2,4,6,3,1,5,,,,Female,Heterosexual,30-39
2018-07-21 19:53:41+02:00,2,3,4,1,5,6,4,1,5,2,3,6,,,,Female,Bisexual/Pansexual,15-18
2018-07-21 19:53:47+02:00,4,2,6,1,5,3,5,6,1,4,3,2,,,,Female,Heterosexual,19-29
2018-07-21 19:54:51+02:00,2,3,6,5,4,1,3,2,1,4,5,6,,,,Female,Heterosexual,30-39
2018-07-21 19:55:09+02:00,2,4,6,5,1,3,5,3,1,6,2,4,,,,Male,Heterosexual,30-39
2018-07-21 19:55:15+02:00,2,1,6,3,4,5,4,5,1,2,6,3,,,,Male,Homosexual,30-39
2018-07-21 19:55:16+02:00,5,4,6,1,3,2,1,2,3,6,5,4,,,,Female,Bisexual/Pansexual,30-39
2018-07-21 19:55:36+02:00,3,6,5,4,2,1,5,1,4,6,2,3,,,,Male,Heterosexual,19-29
2018-07-21 19:57:35+02:00,2,4,3,6,5,1,2,3,1,6,4,5,,,,Female,Heterosexual,30-39
2018-07-21 19:58:07+02:00,1,5,4,2,6,3,5,4,3,6,2,1,,,,Male,Heterosexual,19-29
2018-07-21 19:58:35+02:00,1,4,6,3,2,5,5,3,1,6,2,4,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 19:59:19+02:00,3,1,4,5,2,6,6,3,4,1,2,5,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 19:59:23+02:00,2,6,5,1,4,3,3,6,2,5,4,1,,,,Female,Heterosexual,19-29
2018-07-21 20:00:03+02:00,2,6,5,3,4,1,2,5,1,6,3,4,,,,Female,Bisexual/Pansexual,30-39
